,date,country,region,unemployment_rate,vacancy_rate
1,01.01.03,France,Continental,8.3,0.896693174
2,01.04.03,France,Continental,8.5,0.8847069
3,01.07.03,France,Continental,8.4,0.911976912
4,01.10.03,France,Continental,8.8,0.897246716
5,01.01.04,France,Continental,8.9,0.923539519
6,01.04.04,France,Continental,8.8,0.940308662
7,01.07.04,France,Continental,8.9,0.919691891
8,01.10.04,France,Continental,8.9,0.92968583
9,01.01.05,France,Continental,8.6,0.977170898
10,01.04.05,France,Continental,8.8,0.976231802
11,01.07.05,France,Continental,9,1.007933135
12,01.10.05,France,Continental,9.1,1.035654853
13,01.01.06,France,Continental,9.1,1.012452817
14,01.04.06,France,Continental,9,1.032340065
15,01.07.06,France,Continental,8.9,1.023525281
16,01.10.06,France,Continental,8.4,1.035440546
17,01.01.07,France,Continental,8.5,1.074481502
18,01.04.07,France,Continental,8.1,1.09765912
19,01.07.07,France,Continental,8,1.076026656
20,01.10.07,France,Continental,7.5,1.084547292
21,01.01.08,France,Continental,7.1,1.090453311
22,01.04.08,France,Continental,7.3,1.070932333
23,01.07.08,France,Continental,7.5,1.0538918
24,01.10.08,France,Continental,7.8,0.934692467
25,01.01.09,France,Continental,8.6,0.794361926
26,01.04.09,France,Continental,9.2,0.826639204
27,01.07.09,France,Continental,9.2,0.871199062
28,01.10.09,France,Continental,9.5,0.898277699
29,01.01.10,France,Continental,9.4,0.921300579
30,01.04.10,France,Continental,9.3,0.938474722
31,01.07.10,France,Continental,9.2,0.934771443
32,01.10.10,France,Continental,9.2,0.916823872
33,01.01.11,France,Continental,9.2,0.984866683
34,01.04.11,France,Continental,9.1,0.976111321
35,01.07.11,France,Continental,9.2,0.99962343
36,01.10.11,France,Continental,9.4,0.953487577
37,01.01.12,France,Continental,9.5,0.91107623
38,01.04.12,France,Continental,9.7,0.894679548
39,01.07.12,France,Continental,9.7,0.820880315
40,01.10.12,France,Continental,10.2,0.805498328
41,01.01.13,France,Continental,10.4,0.767797873
42,01.04.13,France,Continental,10.4,0.736461606
43,01.07.13,France,Continental,10.2,0.737005431
44,01.10.13,France,Continental,10.1,0.783843164
45,01.01.14,France,Continental,10.2,0.734951555
46,01.04.14,France,Continental,10.1,0.722781645
47,01.07.14,France,Continental,10.2,0.737735403
48,01.10.14,France,Continental,10.5,0.714598565
49,01.01.15,France,Continental,10.4,0.733418798
50,01.04.15,France,Continental,10.4,0.740366478
51,01.07.15,France,Continental,10.3,0.786679212
52,01.10.15,France,Continental,10.3,0.801210898
53,01.01.16,France,Continental,10.3,0.795862856
54,01.04.16,France,Continental,10,0.776267994
55,01.07.16,France,Continental,9.9,0.793250647
56,01.10.16,France,Continental,10.1,0.883885061
57,01.01.17,France,Continental,9.6,0.925031251
58,01.04.17,France,Continental,9.5,0.965819691
59,01.07.17,France,Continental,9.5,0.963092085
60,01.10.17,France,Continental,9.1,0.966847136
61,01.01.18,France,Continental,9.3,0.972333601
62,01.04.18,France,Continental,9.1,0.966350013
63,01.07.18,France,Continental,8.9,0.933342248
64,01.10.18,France,Continental,8.8,0.898718975
