"","country","year","unemployment_rate","vacancy_rate","active_pop","active_pop_growth","vacancy_stock_eurostat"
"1","Austria","2000",5.04824453871472,NA,NA,NA,NA
"2","Austria","2001",5.26024392305415,NA,NA,NA,NA
"3","Austria","2002",6.0132097360979,NA,NA,NA,NA
"4","Austria","2003",6.05740346463567,NA,NA,NA,NA
"5","Austria","2004",6.26980715884946,NA,NA,NA,NA
"6","Austria","2005",6.36272699549808,NA,NA,NA,NA
"7","Austria","2006",5.92484529876463,NA,NA,NA,NA
"8","Austria","2007",5.38987744786218,NA,NA,NA,NA
"9","Austria","2008",5.09426093074775,NA,NA,NA,NA
"10","Austria","2009",6.18985074803201,NA,NA,NA,NA
"11","Austria","2010",5.94297014392357,1.66366997553336,4162500,NA,69272.9119113982
"12","Austria","2011",5.80975696398922,1.75837533664698,4190000,0.155708234903228,73673.2577425335
"13","Austria","2012",6.07069706111416,1.63703120509842,4237500,0.243160746870646,69364.1616277762
"14","Austria","2013",6.6237962929142,1.51893550437296,4278250,0.164866594178606,64980.852738952
"15","Austria","2014",7.32888112399016,1.45062794186284,4297000,0.198655073587757,62331.659052866
"16","Austria","2015",8.0526873355103,1.53459152726253,4338250,0.35805929943478,66570.4570890522
"17","Austria","2016",7.95784217287302,1.64305245021875,4432750,0.359505696262867,72832.6295632875
"18","Austria","2017",7.54212566811896,2.19041738530542,4451500,0.191839590594031,97514.7723119889
"19","Austria","2018",6.87618976172966,2.68104001100657,4477000,0.0950258306853931,120039.363887988
"20","Austria","2019",6.60924626929733,2.83576266166985,4499250,0.118095145635966,127590.543372922
"21","Austria","2020",9.02552555837127,2.29410107420051,4458000,-0.166004398235808,102358.577116579
"22","Austria","2021",7.2278178248733,3.2473485498402,4513250,0.350416070490096,146652.455834502
"23","Austria","2022",5.64219249983988,4.51103864866196,4577750,0.339938120219622,206516.197166446
"24","Belgium","2012",7.65,1.888363992114,4851750,NA,91568.5143339593
"25","Belgium","2013",8.55,1.74682171214071,4907000,0.0170901899621408,85714.9512886505
"26","Belgium","2014",8.65,1.66003636257071,4928000,0.305828350057057,81792.1331894507
