,country,date,diff_factor,unemployment_level_oecd,active_pop_oecd,vacancy_stock_oecd,vacancy_stock_factored_v1,vacancy_stock_lm_v2,unemployment_rate_oecd,vacancy_rate_oecd,vacancy_rate_factored_v1,vacancy_rate_lm_v2,vacancy_stock_eurostat,effective_unemployment_rate_lm_v2,unemployment_gap_lm_v2,tightness_lm_v2
1,Austria,01.01.50,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Austria,01.04.50,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Austria,01.07.50,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Austria,01.10.50,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Austria,01.01.51,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Austria,01.04.51,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Austria,01.07.51,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Austria,01.10.51,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Austria,01.01.52,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Austria,01.04.52,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Austria,01.07.52,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Austria,01.10.52,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Austria,01.01.53,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Austria,01.04.53,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
