,year,ccode,ACCU,PUCA,PRCA,PUINV,PRINV,UDENS,LTU,TFP,INFL,EPL,OG,TGLOB,FGLOB,EGLOB,LRG_pg,LRG_cp,OCR,PS,ROP,UNR,VACR,BECRU,FEGAP,Eighties,Nineties,FinancialCrisis,EuroCrisis,CovidCrisis,DCOU_AUT,DCOU_DEU,DCOU_SWE,DCOU_GBR,DCOU_USA,DCLU_CON,DCLU_SOD,DCLU_LIB,DCLU_LIBEU,DCLU_LIBUS,DCLU_MED
1,1970,AUT,8.985664302,2.033305886,7.084851645,6.159441973,21.46196147,56.7,NA,5.078371724,4.372826,1.335,3.005146,57.05,53.73,55.39,3.7293,2.1629,38.6591412,23.9787977,9.2699973,1.941809028,2.875251918,2.362877511,-0.421068483,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2,1971,AUT,9.737995548,2.195493123,7.684186974,6.612768853,23.14457365,55.3,NA,2.340604422,4.704262,1.335,3.0468896,57.07,54.55,55.81,3.7293,0.9103,38.1054585,23.704552,9.0327282,1.728404907,3.315921956,2.394004131,-0.665599224,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3,1972,AUT,10.3202417,2.245990529,8.205656894,6.923921832,25.29633415,54.3,NA,3.342707442,6.355141,1.335,3.7020865,58.27,54.6,56.43,3.7293,0.8571,35.9331852,23.2651738,8.359918,1.622890785,3.545977959,2.398902864,-0.776012079,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4,1973,AUT,9.832413534,2.113926335,7.83764858,6.454621712,23.93132431,52.8,NA,1.678440168,7.531081,1.424000042,3.334762,58.95,55.03,56.99,3.7293,0.8571,36.3325698,22.8314933,8.2952682,1.35832253,3.695467329,2.240454537,-0.882132007,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5,1974,AUT,9.716728525,2.18781925,7.669611582,6.734297748,23.60773085,52.4,NA,1.237192581,9.521791,1.513000081,2.6541045,61.26,55.56,58.41,3.7293,0.8571,35.1740675,22.8272678,8.0292786,1.353938973,3.339985728,2.126531647,-0.772592674,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6,1975,AUT,8.854452063,2.173598183,6.851021543,6.890366495,21.71792821,52.6,NA,-1.79620217,8.445255,1.602,-1.2227333,60.86,56.24,58.55,3.7293,0.8571,33.7718305,22.4092929,7.5680284,1.852524979,2.303853936,2.065901006,-0.213376026,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7,1976,AUT,8.80983275,1.974740205,6.960609388,6.144845479,21.65949172,52.4,NA,2.579319088,7.318689,1.691000041,-0.0294677,62.29,58.63,60.46,3.7293,0.8571,33.5875905,22.6498006,7.6075223,1.842153829,2.223905346,2.024049344,-0.181895515,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8,1977,AUT,9.17634698,1.956761579,7.329807045,6.028751838,22.58302093,51.7,NA,2.434696578,5.49461,1.780000083,1.7173301,62.21,58.88,60.54,3.7293,0.8571,33.4732251,22.7190708,7.6048057,1.684018465,2.310604209,1.972587172,-0.288568707,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9,1978,AUT,8.280500635,1.978167075,6.445350537,6.283573893,20.47341546,51.5,NA,-1.95442632,3.574322,1.958000041,-1.0704433,62.28,60.03,61.16,3.7293,0.8571,32.0544959,22.2521839,7.1328254,1.90238642,2.169592665,2.031601246,-0.129214826,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10,1979,AUT,8.4385547,1.850834885,6.699631485,5.828898303,21.0993811,51.5,NA,3.480608412,3.707406,2.136000001,1.7592827,63.58,59.89,61.73,3.7293,0.9495,32.1168009,22.3959324,7.192857,1.820863879,2.221790224,2.011362117,-0.190498238,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
11,1980,AUT,8.397555476,1.682362398,6.79390453,5.469207516,22.08636722,51.7,NA,-0.358521545,6.328318,2.314000082,1.2240852,65.43,62.89,64.16,3.7293,1,30.6053176,21.9440251,6.7160386,1.699538637,2.416317948,2.026481116,-0.326942479,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12,1981,AUT,8.107348783,1.586140566,6.58938857,5.323233272,22.11459263,51.9,NA,-1.320399302,6.803043,2.491999919,-1.0166522,66.45,64.63,65.54,3.7293,1,29.2651122,21.4362443,6.273341,2.184930377,1.946704521,2.062380625,0.122549752,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
