"","year","ccode","ACCU","PUCA","PRCA","PUINV","PRINV","UDENS","LTU","TFP","INFL","EPL","OG","TGLOB","FGLOB","EGLOB","LRG_pg","LRG_cp","OCR","PS","ROP","ACTPOP","ACTPOP_abs","UNR","VACR_v1","VACR_v2","VACR_v3","BECRU_v1","BECRU_v2","BECRU_v3","FEGAP_v1","FEGAP_v2","FEGAP_v3","VACR","BECRU","FEGAP","NAIRU","NAIRU_gap","Eighties","Nineties","FinancialCrisis","EuroCrisis","CovidCrisis","DCOU_AUT","DCOU_DEU","DCOU_FIN","DCOU_SWE","DCOU_GBR","DCOU_USA","DCLU_CON","DCLU_SOD","DCLU_LIB","DCLU_LIBEU","DCLU_LIBUS","DCLU_MED"
"1","1970","AUT",8.985664302,2.033305886,7.084851645,6.159441973,21.46196147,56.7,NA,5.078371724,4.372826,1.335,3.005146,57.05,53.73,55.39,3.7293,2.1629,38.6591412,23.9787977,9.2699973,-0.7260405,3010595.25,1.94180301,2.870008891,2.870008891,2.870008891,2.360718514,2.360718514,2.360718514,-0.418915504,-0.418915504,-0.418915504,2.870008891,2.360718514,-0.418915504,1.1,0.84180300978504,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"2","1971","AUT",9.737995548,2.195493123,7.684186974,6.612768853,23.14457365,55.3,NA,2.340604422,4.704262,1.335,3.0468896,57.07,54.55,55.81,3.7293,0.9103,38.1054585,23.704552,9.0327282,-0.024488513,3009858,1.728402117,3.306573965,3.306573965,3.306573965,2.390625324,2.390625324,2.390625324,-0.662223207,-0.662223207,-0.662223207,3.306573965,2.390625324,-0.662223207,1.1,0.62840211672526,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"3","1972","AUT",10.3202417,2.245990529,8.205656894,6.923921832,25.29633415,54.3,NA,3.342707442,6.355141,1.335,3.7020865,58.27,54.6,56.43,3.7293,0.8571,35.9331852,23.2651738,8.359918,0.605510293,3028083,1.622892454,3.53435453,3.53435453,3.53435453,2.394969164,2.394969164,2.394969164,-0.77207671,-0.77207671,-0.77207671,3.53435453,2.394969164,-0.77207671,1,0.62289245402808,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"4","1973","AUT",9.832413534,2.113926335,7.83764858,6.454621712,23.93132431,52.8,NA,1.678440168,7.531081,1.42400004162462,3.334762,58.95,55.03,56.99,3.7293,0.8571,36.3325698,22.8314933,8.2952682,0.485546466,3042785.75,1.358319225,3.682345394,3.682345394,3.682345394,2.236470554,2.236470554,2.236470554,-0.87815133,-0.87815133,-0.87815133,3.682345394,2.236470554,-0.87815133,1,0.35831922472074,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"5","1974","AUT",9.716728525,2.18781925,7.669611582,6.734297748,23.60773085,52.4,NA,1.237192581,9.521791,1.51300008119539,2.6541045,61.26,55.56,58.41,3.7293,0.8571,35.1740675,22.8272678,8.0292786,0.259655153,3050686.5,1.353945627,3.330124744,3.330124744,3.330124744,2.123395355,2.123395355,2.123395355,-0.769449728,-0.769449728,-0.769449728,3.330124744,2.123395355,-0.769449728,1,0.35394562685748,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"6","1975","AUT",8.854452063,2.173598183,6.851021543,6.890366495,21.71792821,52.6,NA,-1.79620217,8.445255,1.60199999958923,-1.2227333,60.86,56.24,58.55,3.7293,0.8571,33.7718305,22.4092929,7.5680284,-1.81377208,2995354,1.852520501,2.304051335,2.304051335,2.304051335,2.065987012,2.065987012,2.065987012,-0.213466511,-0.213466511,-0.213466511,2.304051335,2.065987012,-0.213466511,1.1,0.75252050120356,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"7","1976","AUT",8.80983275,1.974740205,6.960609388,6.144845479,21.65949172,52.4,NA,2.579319088,7.318689,1.69100004121385,-0.0294677,62.29,58.63,60.46,3.7293,0.8571,33.5875905,22.6498006,7.6075223,0.180679813,3000766,1.84215288,2.224809483,2.224809483,2.224809483,2.024460224,2.024460224,2.024460224,-0.182307344,-0.182307344,-0.182307344,2.224809483,2.024460224,-0.182307344,1.2,0.64215288001953,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"8","1977","AUT",9.17634698,1.956761579,7.329807045,6.028751838,22.58302093,51.7,NA,2.434696578,5.49461,1.78000008283846,1.7173301,62.21,58.88,60.54,3.7293,0.8571,33.4732251,22.7190708,7.6048057,1.240291646,3037984.25,1.684020559,2.310434021,2.310434021,2.310434021,1.972515752,1.972515752,1.972515752,-0.288495193,-0.288495193,-0.288495193,2.310434021,1.972515752,-0.288495193,1.3,0.38402055923119,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"9","1978","AUT",8.280500635,1.978167075,6.445350537,6.283573893,20.47341546,51.5,NA,-1.95442632,3.574322,1.95800004080308,-1.0704433,62.28,60.03,61.16,3.7293,0.8571,32.0544959,22.2521839,7.1328254,1.341967128,3078753,1.902387407,2.170454756,2.170454756,2.170454756,2.032005363,2.032005363,2.032005363,-0.129617956,-0.129617956,-0.129617956,2.170454756,2.032005363,-0.129617956,1.5,0.40238740737016,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"10","1979","AUT",8.4385547,1.850834885,6.699631485,5.828898303,21.0993811,51.5,NA,3.480608412,3.707406,2.13600000082154,1.7592827,63.58,59.89,61.73,3.7293,0.9495,32.1168009,22.3959324,7.192857,1.18761557,3115316.75,1.820874082,2.221918315,2.221918315,2.221918315,2.011425731,2.011425731,2.011425731,-0.190551649,-0.190551649,-0.190551649,2.221918315,2.011425731,-0.190551649,1.8,0.02087408207325,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
