"","ccode","cname","year","ACTPOP_level","ACTPOP_growth","UNR","VACR","BECRU","FEGAP","ACCU","PUCA","PRCA","PUINV","PRINV","UDENS","LTU","TFP","INFL","EPL","OG","TGLOB","FGLOB","EGLOB","LRG_pg","LRG_cp","OCR","PS","ROP","FinancialCrisis","EuroCrisis","CovidCrisis","DCOU_AUT","DCOU_DEU","DCOU_FIN","DCOU_SWE","DCOU_GBR","DCOU_USA","DCLU_CON","DCLU_EAS","DCLU_MED","DCLU_SOD","DCLU_LIB","DCLU_LIBEU","DCLU_LIBUS"
"1","AUT","Austria","2000",NA,NA,5.04824453871472,NA,NA,NA,7.619331216,0.790074317,6.829252717,2.65576188,22.95590256,36.9,25.83757245,1.617742046,2.344868,2.67,1.8189299,79.58,84.44,82.01,7.41135,6.6073,26.3710198,23.8722329,6.2953513,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"2","AUT","Austria","2001",NA,NA,5.26024392305415,NA,NA,NA,7.35003863,0.715941909,6.634095376,2.415353173,22.38126182,36.2,23.33100645,-0.181189971,2.65,2.67,0.6390151,79.18,85.15,82.17,7.41135,7,26.1453911,24.3673614,6.3709419,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"3","AUT","Austria","2002",NA,NA,6.0132097360979,NA,NA,NA,6.994426589,0.779788363,6.214635601,2.62335535,20.90720806,36,19.21317237,0.857112558,1.810359,2.67,0.0081909,79.4,82.26,80.83,7.41135,7,26.1816904,24.6540932,6.4548583,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"4","AUT","Austria","2003",NA,NA,6.05740346463567,NA,NA,NA,7.109247041,0.732384714,6.37686614,2.483584021,21.62454041,34.6,24.54709649,-0.324468579,1.355554,2.29,-1.2818471,80.41,82.96,81.68,6.82144226804124,5.8083,25.7425397,24.4814414,6.3021448,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"5","AUT","Austria","2004",NA,NA,6.26980715884946,NA,NA,NA,7.03066437,0.716430742,6.314237315,2.403994581,21.18752226,34.8,27.89305286,1.502109631,2.061207,2.29,-0.8932138,79.16,84.72,81.94,6.82144226804124,5.5835,25.805725,25.6911619,6.6297906,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"6","AUT","Austria","2005",NA,NA,6.36272699549808,NA,NA,NA,6.915501463,0.878470816,6.037029466,2.928292827,20.12382171,33.8,25.5295061,0.735111849,2.299138,2.29,-0.9489291,78.82,86.48,82.65,6.82144226804124,5.5835,25.7609893,26.6629428,6.8686378,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"7","AUT","Austria","2006",NA,NA,5.92484529876463,NA,NA,NA,6.865857468,0.872601995,5.993258876,2.872395916,19.7283669,31.6,27.96366365,1.619859441,1.441547,2.29,0.3647569,77.39,88.44,82.92,6.82144226804124,5.5835,25.9940448,27.6523106,7.187954,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"8","AUT","Austria","2007",NA,NA,5.38987744786218,NA,NA,NA,7.038586599,0.914596588,6.123992172,2.977846875,19.93918543,30.4,27.24568255,1.764220741,2.168556,2.29,2.1829512,79.15,88.51,83.83,5.0808223880597,3.0705,25.7090193,28.2180943,7.2545953,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"9","AUT","Austria","2008",NA,NA,5.09426093074775,NA,NA,NA,7.00822597,0.975520181,6.032705789,3.240001511,20.03646491,29.6,24.322753,-0.492507037,3.215951,2.29,2.0915133,79.11,87.26,83.19,5.02507777777778,3,24.8031857,26.6027445,6.5983281,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"10","AUT","Austria","2009",NA,NA,6.18985074803201,NA,NA,NA,6.413712502,0.964274328,5.449437182,3.369700462,19.04330588,29.3,21.68101311,-4.02192099,0.5063094,2.29,-2.6853388,75.63,85.72,80.68,5.02507777777778,3,23.2866097,23.762441,5.5334669,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
